a, 7862
b, 7672
c, 9975
d, 6024
e, 4219
f, 4248
g, 4745
h, 4972
i, 3666
j, 1801
k, 4344
l, 4503
m, 8513
n, 3633
o, 2654
p, 8194
q, 547
r, 5941
s, 12151
t, 6119
u, 2017
v, 2508
w, 3128
x, 306
y, 894
z, 848
0, 741
1, 3758
2, 1564
3, 1246
4, 1278
5, 1190
6, 884
7, 964
8, 797
9, 759
